speed,period,warning,location
26,Before,Warn,L01
26,Before,Warn,L01
26,Before,Warn,L01
26,Before,Warn,L01
27,Before,Warn,L01
28,Before,Warn,L01
28,Before,Warn,L01
28,Before,Warn,L01
28,Before,Warn,L01
29,Before,Warn,L01
29,Before,Warn,L01
29,Before,Warn,L01
29,Before,Warn,L01
29,Before,Warn,L01
29,Before,Warn,L01
29,Before,Warn,L01
29,Before,Warn,L01
30,Before,Warn,L01
30,Before,Warn,L01
30,Before,Warn,L01
31,Before,Warn,L01
31,Before,Warn,L01
31,Before,Warn,L01
31,Before,Warn,L01
31,Before,Warn,L01
31,Before,Warn,L01
31,Before,Warn,L01
31,Before,Warn,L01
31,Before,Warn,L01
31,Before,Warn,L01
32,Before,Warn,L01
32,Before,Warn,L01
32,Before,Warn,L01
32,Before,Warn,L01
32,Before,Warn,L01
32,Before,Warn,L01
32,Before,Warn,L01
32,Before,Warn,L01
32,Before,Warn,L01
32,Before,Warn,L01
33,Before,Warn,L01
33,Before,Warn,L01
33,Before,Warn,L01
33,Before,Warn,L01
33,Before,Warn,L01
33,Before,Warn,L01
34,Before,Warn,L01
34,Before,Warn,L01
34,Before,Warn,L01
34,Before,Warn,L01
34,Before,Warn,L01
34,Before,Warn,L01
34,Before,Warn,L01
34,Before,Warn,L01
34,Before,Warn,L01
35,Before,Warn,L01
35,Before,Warn,L01
35,Before,Warn,L01
35,Before,Warn,L01
36,Before,Warn,L01
36,Before,Warn,L01
36,Before,Warn,L01
36,Before,Warn,L01
36,Before,Warn,L01
36,Before,Warn,L01
36,Before,Warn,L01
36,Before,Warn,L01
36,Before,Warn,L01
36,Before,Warn,L01
37,Before,Warn,L01
37,Before,Warn,L01
37,Before,Warn,L01
37,Before,Warn,L01
37,Before,Warn,L01
37,Before,Warn,L01
38,Before,Warn,L01
38,Before,Warn,L01
38,Before,Warn,L01
38,Before,Warn,L01
38,Before,Warn,L01
38,Before,Warn,L01
38,Before,Warn,L01
38,Before,Warn,L01
39,Before,Warn,L01
39,Before,Warn,L01
39,Before,Warn,L01
40,Before,Warn,L01
40,Before,Warn,L01
41,Before,Warn,L01
42,Before,Warn,L01
43,Before,Warn,L01
43,Before,Warn,L01
43,Before,Warn,L01
44,Before,Warn,L01
44,Before,Warn,L01
45,Before,Warn,L01
45,Before,Warn,L01
46,Before,Warn,L01
46,Before,Warn,L01
49,Before,Warn,L01
26,After,Warn,L01
27,After,Warn,L01
28,After,Warn,L01
28,After,Warn,L01
29,After,Warn,L01
29,After,Warn,L01
29,After,Warn,L01
29,After,Warn,L01
30,After,Warn,L01
30,After,Warn,L01
30,After,Warn,L01
31,After,Warn,L01
31,After,Warn,L01
31,After,Warn,L01
31,After,Warn,L01
31,After,Warn,L01
31,After,Warn,L01
31,After,Warn,L01
31,After,Warn,L01
31,After,Warn,L01
31,After,Warn,L01
31,After,Warn,L01
32,After,Warn,L01
32,After,Warn,L01
32,After,Warn,L01
32,After,Warn,L01
32,After,Warn,L01
32,After,Warn,L01
32,After,Warn,L01
32,After,Warn,L01
33,After,Warn,L01
33,After,Warn,L01
33,After,Warn,L01
33,After,Warn,L01
33,After,Warn,L01
34,After,Warn,L01
34,After,Warn,L01
34,After,Warn,L01
34,After,Warn,L01
35,After,Warn,L01
35,After,Warn,L01
35,After,Warn,L01
35,After,Warn,L01
35,After,Warn,L01
35,After,Warn,L01
35,After,Warn,L01
35,After,Warn,L01
35,After,Warn,L01
35,After,Warn,L01
35,After,Warn,L01
36,After,Warn,L01
36,After,Warn,L01
36,After,Warn,L01
36,After,Warn,L01
36,After,Warn,L01
36,After,Warn,L01
36,After,Warn,L01
36,After,Warn,L01
36,After,Warn,L01
36,After,Warn,L01
36,After,Warn,L01
36,After,Warn,L01
37,After,Warn,L01
37,After,Warn,L01
37,After,Warn,L01
37,After,Warn,L01
38,After,Warn,L01
38,After,Warn,L01
38,After,Warn,L01
38,After,Warn,L01
38,After,Warn,L01
38,After,Warn,L01
38,After,Warn,L01
39,After,Warn,L01
39,After,Warn,L01
39,After,Warn,L01
40,After,Warn,L01
40,After,Warn,L01
40,After,Warn,L01
40,After,Warn,L01
40,After,Warn,L01
40,After,Warn,L01
41,After,Warn,L01
41,After,Warn,L01
41,After,Warn,L01
42,After,Warn,L01
42,After,Warn,L01
42,After,Warn,L01
43,After,Warn,L01
43,After,Warn,L01
43,After,Warn,L01
44,After,Warn,L01
44,After,Warn,L01
45,After,Warn,L01
45,After,Warn,L01
45,After,Warn,L01
48,After,Warn,L01
48,After,Warn,L01
48,After,Warn,L01
51,After,Warn,L01
21,Before,No Warn,L01
25,Before,No Warn,L01
25,Before,No Warn,L01
26,Before,No Warn,L01
26,Before,No Warn,L01
26,Before,No Warn,L01
26,Before,No Warn,L01
26,Before,No Warn,L01
27,Before,No Warn,L01
28,Before,No Warn,L01
28,Before,No Warn,L01
28,Before,No Warn,L01
28,Before,No Warn,L01
28,Before,No Warn,L01
28,Before,No Warn,L01
28,Before,No Warn,L01
29,Before,No Warn,L01
