name,state,population,breast,colorectal,prostate,lung,melanoma,poverty,income,region,black_alone,white_alone,asian_alone,lat,lon
anchorage borough,ak,299321,127.8,40.9,113,61.5,14.5,7.7,76362,pacific,5.658807768248803,64.25509737038163,8.938898373318278,61.148133,-149.194236
fairbanks north star borough,ak,100150,133.2,39.2,82.1,58.1,13.1,8.8,67204,pacific,4.17673489765352,76.50224663005491,3.0324513230154766,64.807921,-146.563655
juneau borough,ak,32524,101.6,36.9,117.9,35.1,13.7,7.5,83642,pacific,1.1714426269831508,69.41028163817488,7.170089779854877,58.445711,-134.234239
kenai peninsula borough,ak,57637,127.4,41,96.5,64.9,12.3,10.1,61629,pacific,0.598573832781026,83.64071690060204,1.3203324253517705,60.115308,-151.704297
matanuska-susitna borough,ak,98679,119.8,37.5,121.4,69.7,15,9.4,72371,pacific,1.0559490874451505,83.67636477872698,1.3336170816485777,62.304529,-149.578978
autauga,al,55049,150.8,46.2,110.6,74.9,25.4,13.5,51868,east_south_central,18.521680684481098,76.86061508837581,0.8065541608385257,32.534921,-86.642757
baldwin,al,199510,117.5,41.5,121.3,66.9,30.9,14.2,47539,east_south_central,9.319833592301137,86.43225903463485,0.6706430755350609,30.660974,-87.749845
barbour,al,26614,132.6,49.6,159.8,74.6,12.3,28.2,30981,east_south_central,47.929661080634254,46.704741865183735,0.4847072969114,31.869603,-85.393197
bibb,al,22572,158.1,44.5,116.7,86.4,15.6,23.1,39781,east_south_central,21.21212121212121,76.95374800637958,0.06202374623427255,32.998644,-87.126439
blount,al,57704,110.2,41.1,95.6,69.7,27.1,17.2,44392,east_south_central,1.568348814640233,95.44052405379176,0.15943435463746014,33.980867,-86.567371
butler,al,20280,142.1,47.8,157,58.3,17.7,28.8,31041,east_south_central,43.76232741617357,53.629191321499015,1.0009861932938855,31.752434,-86.680289
calhoun,al,115883,104.5,46.3,148.6,84.2,17.8,21.4,37898,east_south_central,20.530189932949614,74.88328745372488,0.931111552168998,33.771428,-85.826035
chambers,al,34018,114,49.7,160.9,75.4,16.4,22.5,33883,east_south_central,40.50502675054383,57.07860544417661,0.9171615027338468,32.914372,-85.392043
cherokee,al,25897,109.9,35.9,115.7,82.4,17.2,20.1,37478,east_south_central,4.668494420203112,93.27721357686218,0.4208981735336139,34.175956,-85.603794
chilton,al,43817,120.4,29.5,112.3,73.9,22.1,20.3,41348,east_south_central,10.082844558048246,83.84873450943698,0.4359038729260333,32.847853,-86.718814
clarke,al,24847,111.8,67.1,138,69.5,24.5,25.4,34593,east_south_central,45.49442588642492,53.3384311989375,0.4588079043747736,31.67666,-87.83081
clay,al,13483,97.5,44,164.3,83.3,30.2,19.6,33344,east_south_central,14.781576800415337,82.896981383965,0,33.269086,-85.860547
cleburne,al,14991,90.6,49.6,115.6,74.9,23.4,18.9,40407,east_south_central,2.361416850110066,94.56340470949236,0.5736775398572477,33.674558,-85.518768
coffee,al,50991,121.3,30.3,146.6,71.5,21.8,18.5,44666,east_south_central,17.19126904747897,76.37622325508423,1.2217842364338805,31.402627,-85.988207
colbert,al,54377,129.7,46.4,100.7,75.9,26.2,16.3,40032,east_south_central,15.690457362487816,79.77453702852308,0.46894826856943195,34.700434,-87.804984
conecuh,al,12697,159.9,52.2,135.2,73.5,19.3,30.5,27196,east_south_central,46.31015200441049,51.92565172875482,0.11026226667716783,31.429267,-86.993681
covington,al,37729,102.6,51.1,103.2,83,21.6,19.2,35187,east_south_central,13.106628853136844,84.49998674759469,0.46648466696705454,31.248493,-86.451248
