name,year,month,day,hour,lat,long,status,category,wind
Allison,2001,6,5,12,27.5,-95,tropical storm,0,40
Allison,2001,6,5,18,28.5,-95.3,tropical storm,0,50
Allison,2001,6,5,21,28.9,-95.3,tropical storm,0,45
Allison,2001,6,6,0,29.3,-95.3,tropical storm,0,45
Allison,2001,6,6,6,30.1,-95.2,tropical depression,-1,30
Allison,2001,6,6,12,31,-95.2,tropical depression,-1,20
Allison,2001,6,6,18,31.5,-95,tropical depression,-1,20
Allison,2001,6,7,0,31.6,-95,tropical depression,-1,20
Allison,2001,6,7,6,31.8,-94.9,tropical depression,-1,20
Allison,2001,6,7,12,31.4,-94.9,tropical depression,-1,20
Allison,2001,6,7,18,31.1,-95,tropical depression,-1,15
Allison,2001,6,8,0,30.9,-95.6,tropical depression,-1,15
Allison,2001,6,8,6,30.7,-96.1,tropical depression,-1,20
Allison,2001,6,8,12,30.4,-96.2,tropical depression,-1,20
Allison,2001,6,8,18,30.2,-96.1,tropical depression,-1,20
Allison,2001,6,9,0,29.9,-95.9,tropical depression,-1,20
Allison,2001,6,9,6,29.6,-95.8,tropical depression,-1,20
Allison,2001,6,9,12,29.3,-95.8,tropical depression,-1,20
Allison,2001,6,9,18,28.9,-95.6,tropical depression,-1,20
AL022001,2001,7,11,18,10.9,-42.1,tropical depression,-1,25
AL022001,2001,7,12,0,11.4,-43.8,tropical depression,-1,25
AL022001,2001,7,12,6,11.8,-45.3,tropical depression,-1,25
AL022001,2001,7,12,12,12.5,-46.9,tropical depression,-1,25
AL022001,2001,7,12,18,13.1,-48.5,tropical depression,-1,25
Barry,2001,8,2,12,25.7,-84.8,tropical depression,-1,30
Barry,2001,8,2,18,26.2,-84.9,tropical storm,0,45
Barry,2001,8,3,0,26.4,-85.6,tropical storm,0,40
Barry,2001,8,3,6,26.6,-86.3,tropical storm,0,35
Barry,2001,8,3,12,26.9,-87,tropical storm,0,35
Barry,2001,8,3,18,26.8,-87.2,tropical storm,0,35
Barry,2001,8,4,0,26.7,-87.5,tropical depression,-1,30
Barry,2001,8,4,6,26.6,-87.8,tropical depression,-1,30
Barry,2001,8,4,12,26.9,-87.7,tropical depression,-1,30
