modeldate,approve,disapprove
2019-03-16,42.72493,53.17706
2019-03-15,42.68256,53.22584
2019-03-14,41.15266,53.7949
2019-03-13,41.34909,53.63763
2019-03-12,42.51807,53.17521
2019-03-11,41.28474,53.91755
2019-03-10,41.27819,53.89863
2019-03-09,42.57926,53.27302
2019-03-08,42.54274,53.28022
2019-03-07,41.66734,53.60081
2019-03-06,42.23935,53.51493
2019-03-05,41.18424,54.04747
2019-03-04,41.45337,53.92007
2019-03-03,42.64135,53.16066
2019-03-02,42.73643,52.95174
2019-03-01,40.70159,54.09612
2019-02-28,42.89241,53.02461
2019-02-27,42.75151,53.1054
2019-02-26,42.69373,53.29458
2019-02-25,43.19084,52.90681
2019-02-24,42.70221,53.03767
2019-02-23,43.25957,52.71745
2019-02-22,43.25957,52.71745
2019-02-21,42.45333,53.22052
2019-02-20,40.6429,54.50671
2019-02-19,42.7675,53.16241
2019-02-18,42.97749,53.24595
2019-02-17,40.15818,54.96553
2019-02-16,42.95282,53.17573
2019-02-15,42.90593,53.40847
2019-02-14,39.94764,55.07407
2019-02-13,42.83984,53.41368
2019-02-12,42.27277,53.68688
2019-02-11,39.3547,55.72991
2019-02-10,40.22179,55.14785
2019-02-09,40.2227,55.14678
2019-02-08,39.29391,55.66657
2019-02-07,41.76154,54.25367
2019-02-06,41.62054,54.38211
2019-02-05,39.29878,55.76375
2019-02-04,41.01645,55.08982
2019-02-03,38.89598,56.25002
2019-02-02,38.97214,56.17984
2019-02-01,40.72831,55.30827
2019-01-31,38.8746,56.21391
2019-01-30,40.77748,55.21791
2019-01-29,40.87305,55.13858
2019-01-28,40.9616,55.31767
2019-01-27,38.52261,56.46836
2019-01-26,38.25626,56.42288
2019-01-25,40.40027,55.53305
2019-01-24,41.03642,54.96578
2019-01-23,38.50995,56.30651
2019-01-22,41.42202,54.44519
2019-01-21,41.33651,54.73135
2019-01-20,39.106,55.55056
2019-01-19,41.39695,54.51344
2019-01-18,41.39695,54.51344
2019-01-17,39.02931,55.45872
2019-01-16,41.31862,54.48079
2019-01-15,41.86878,54.01814
2019-01-14,40.08126,54.5193
2019-01-13,41.81806,53.88078
2019-01-12,41.91363,53.75868
2019-01-11,40.41727,54.0993
2019-01-10,41.92067,53.68281
2019-01-09,42.00117,53.61448
2019-01-08,40.56102,54.09017
2019-01-07,42.22881,53.44289
2019-01-06,42.26724,53.46757
2019-01-05,40.93617,53.66079
2019-01-04,42.32024,53.36796
2019-01-03,40.95282,53.58542
2019-01-02,40.90391,53.58268
2019-01-01,42.50409,53.18977
2018-12-31,42.56866,53.09455
2018-12-30,41.13201,53.4039
2018-12-29,42.50721,53.03738
2018-12-28,42.49585,52.94865
2018-12-27,41.28329,53.19054
2018-12-26,42.50584,52.97219
2018-12-25,43.00541,52.46081
2018-12-24,41.3157,53.37861
2018-12-23,43.22877,52.23954
2018-12-22,41.54923,53.18558
2018-12-21,41.6064,53.06789
2018-12-20,43.11878,52.27651
2018-12-19,43.08582,52.1537
2018-12-18,41.60646,52.74824
2018-12-17,43.29996,52.19585
2018-12-16,43.35625,51.97405
2018-12-15,41.38058,52.04842
2018-12-14,43.34373,51.97961
2018-12-13,41.21475,51.94945
2018-12-12,43.29251,51.97773
2018-12-11,42.74178,51.88388
2018-12-10,43.47831,52.28874
2018-12-09,41.53585,52.08897
2018-12-08,41.45955,52.0139
2018-12-07,43.41546,51.9128
2018-12-06,43.32276,52.16639
2018-12-05,41.31243,52.01647
2018-12-04,43.61461,51.5563
2018-12-03,44.04657,51.16261
2018-12-02,41.49432,53.37064
2018-12-01,44.33083,51.38251
2018-11-30,44.39586,51.28436
2018-11-29,41.45345,53.13
2018-11-28,44.46817,51.18842
2018-11-27,44.57539,51.21335
2018-11-26,44.24561,51.66513
2018-11-25,44.24561,51.66513
2018-11-24,42.06359,52.69842
2018-11-23,44.24029,51.62688
2018-11-22,44.24029,51.62688
2018-11-21,44.231,51.62628
2018-11-20,43.67185,52.25628
2018-11-19,43.66652,52.25591
2018-11-18,42.48425,53.03011
2018-11-17,43.5631,52.51929
2018-11-16,43.5631,52.51929
2018-11-15,41.75514,53.6969
2018-11-14,41.23523,52.89913
2018-11-13,43.42043,52.75005
2018-11-12,43.75782,52.54499
2018-11-11,43.99274,52.54802
2018-11-10,40.9953,52.69562
2018-11-09,43.99274,52.54802
2018-11-08,40.78244,52.53972
2018-11-07,43.95908,52.52884
2018-11-06,43.46575,53.09192
2018-11-05,40.4739,53.00861
2018-11-04,43.93788,52.49273
2018-11-03,40.97435,52.90569
2018-11-02,40.95804,52.90847
2018-11-01,43.3008,53.11375
2018-10-31,43.49135,53.11095
2018-10-30,40.85725,53.05312
2018-10-29,43.95501,52.53939
2018-10-28,41.06237,52.64185
2018-10-27,41.04082,52.63843
2018-10-26,43.92102,52.42857
2018-10-25,41.44135,52.17218
2018-10-24,44.29115,51.97921
2018-10-23,44.01097,52.47669
2018-10-22,43.97047,52.52752
2018-10-21,43.89709,52.472
2018-10-20,41.12504,52.63827
2018-10-19,43.68245,52.61926
2018-10-18,43.9041,52.54461
2018-10-17,41.50082,52.14148
2018-10-16,43.2679,52.63101
2018-10-15,43.30664,52.58164
2018-10-14,40.89894,52.84336
2018-10-13,43.06012,52.88596
2018-10-12,43.04792,52.86861
2018-10-11,40.91623,52.86021
2018-10-10,42.8601,52.88068
2018-10-09,43.46759,52.2512
2018-10-08,41.47743,52.58164
2018-10-07,43.71084,52.13918
2018-10-06,43.83076,51.9288
2018-10-05,41.2299,52.77577
2018-10-04,43.66148,52.4379
2018-10-03,43.38432,52.74972
2018-10-02,41.06406,52.5085
2018-10-01,43.13089,52.6396
2018-09-30,43.54089,52.16042
2018-09-29,40.59028,52.66371
2018-09-28,43.50611,52.06491
2018-09-27,40.59393,52.8017
2018-09-26,40.56958,52.82096
2018-09-25,43.68663,52.20901
2018-09-24,43.81634,52.17994
2018-09-23,39.6658,54.23514
2018-09-22,43.03456,52.60383
2018-09-21,42.92581,52.72727
2018-09-20,39.46564,53.964
2018-09-19,42.27726,53.31838
2018-09-18,42.41969,53.26352
2018-09-17,38.89231,54.16165
2018-09-16,41.18386,53.81324
2018-09-15,38.94613,54.03018
2018-09-14,38.94613,54.03018
2018-09-13,40.7944,53.92591
2018-09-12,40.61292,53.98311
2018-09-11,38.67489,54.17178
2018-09-10,41.30315,53.33519
2018-09-09,39.01255,53.79688
2018-09-08,39.01255,53.79688
2018-09-07,42.38865,52.81744
2018-09-06,39.01255,53.79688
2018-09-05,41.97416,53.01204
2018-09-04,41.62132,53.48704
2018-09-03,41.62132,53.48704
2018-09-02,42.4197,53.52188
2018-09-01,38.70051,55.1427
2018-08-31,42.4197,53.52188
2018-08-30,42.37328,53.56899
2018-08-29,40.19815,53.62261
2018-08-28,42.18199,53.87004
2018-08-27,42.6465,53.55759
2018-08-26,40.8222,53.32508
2018-08-25,42.34155,53.75689
2018-08-24,42.34155,53.75689
2018-08-23,41.21027,52.92406
2018-08-22,42.87815,53.26927
2018-08-21,43.33063,52.31107
2018-08-20,43.4515,52.24882
2018-08-19,40.94939,52.79398
2018-08-18,40.94939,52.79398
2018-08-17,43.56767,51.98381
2018-08-16,43.711,51.85901
2018-08-15,43.68356,51.7925
2018-08-14,43.84809,51.91397
2018-08-13,43.66196,52.03722
2018-08-12,41.9125,52.49004
2018-08-11,43.5351,52.12256
2018-08-10,43.5351,52.12256
2018-08-09,40.90953,52.53155
2018-08-08,40.90062,52.52702
2018-08-07,43.14393,52.44352
2018-08-06,43.11097,52.50591
2018-08-05,43.13605,52.4722
2018-08-04,40.7165,52.89643
2018-08-03,43.13605,52.4722
2018-08-02,40.60411,52.81405
2018-08-01,42.97926,52.51762
2018-07-31,43.17537,52.50702
2018-07-30,40.58243,52.8306
2018-07-29,42.73167,52.97345
2018-07-28,40.46957,52.84661
2018-07-27,40.46957,52.84661
2018-07-26,42.53392,53.05232
2018-07-25,42.54901,53.04598
2018-07-24,40.62229,53.01218
2018-07-23,42.62905,53.09624
2018-07-22,41.00065,52.99276
2018-07-21,41.00065,52.99276
2018-07-20,42.9778,52.55753
2018-07-19,41.04249,52.99483
2018-07-18,42.77056,52.81044
2018-07-17,43.12508,52.562
2018-07-16,43.28642,52.57391
2018-07-15,43.4221,52.4774
2018-07-14,40.98757,53.64129
2018-07-13,43.22959,52.41489
2018-07-12,43.54289,52.20567
2018-07-11,41.23541,53.37967
2018-07-10,42.96598,52.53059
2018-07-09,43.14231,52.32187
2018-07-08,43.34873,52.47079
2018-07-07,41.88363,52.91393
2018-07-06,43.24845,52.53096
2018-07-05,41.2733,52.5207
2018-07-04,42.79001,52.6356
2018-07-03,42.79001,52.6356
2018-07-02,43.01169,52.21621
2018-07-01,41.02074,52.3112
2018-06-30,40.90369,52.44347
2018-06-29,42.97145,51.97178
2018-06-28,43.17663,51.7826
2018-06-27,43.1776,51.78136
2018-06-26,43.1865,51.20868
2018-06-25,43.1451,51.36792
2018-06-24,42.49755,51.60103
2018-06-23,43.16301,51.37271
2018-06-22,43.16301,51.37271
2018-06-21,42.00172,51.48632
2018-06-20,42.0325,51.43397
2018-06-19,43.08958,51.52604
2018-06-18,42.97183,51.62914
2018-06-17,43.42542,51.15118
2018-06-16,41.52295,51.69101
2018-06-15,43.42542,51.15118
2018-06-14,40.8569,51.99017
2018-06-13,42.78136,52.09525
2018-06-12,42.87965,52.14505
2018-06-11,40.01291,53.59898
2018-06-10,42.79602,52.01387
2018-06-09,40.18627,53.82103
2018-06-08,40.40632,53.67761
2018-06-07,43.0961,51.68435
2018-06-06,42.50404,51.87386
2018-06-05,40.44235,53.55142
2018-06-04,43.17106,52.14459
2018-06-03,40.71766,52.98875
2018-06-02,40.71766,52.98875
2018-06-01,43.01175,52.32869
2018-05-31,40.8495,53.17712
